url,artist,sayuType,title,artveeId
"https://artvee.com/dl/a-peasant-woman-digging-in-front-of-her-cottage/","Vincent van Gogh","LAEF","A Peasant Woman Digging in Front of Her Cottage (c. 1885)","a-peasant-woman-digging-in-front-of-her-cottage"
"https://artvee.com/dl/adeline-ravoux/","Vincent van Gogh","LAEF","Adeline Ravoux (1890)","adeline-ravoux"
"https://artvee.com/dl/girl-in-white/","Vincent van Gogh","LAEF","Girl in White (1890)","girl-in-white"
"https://artvee.com/dl/la-mousme/","Vincent van Gogh","LAEF","La Mousmé (1888)","la-mousme"
"https://artvee.com/dl/madame-roulin-rocking-the-cradle-la-berceuse/","Vincent van Gogh","LAEF","Madame Roulin Rocking the Cradle (La berceuse) (1889)","madame-roulin-rocking-the-cradle-la-berceuse"
"https://artvee.com/dl/roulins-baby/","Vincent van Gogh","LAEF","Roulin’s Baby (1888)","roulins-baby"
"https://artvee.com/dl/self-portrait-26/","Vincent van Gogh","LAEF","Self-Portrait (1887)","self-portrait-26"
"https://artvee.com/dl/self-portrait-27/","Vincent van Gogh","LAEF","Self-Portrait (1889)","self-portrait-27"
"https://artvee.com/dl/the-drinkers/","Vincent van Gogh","LAEF","The Drinkers (1890)","the-drinkers"
"https://artvee.com/dl/cypresses/","Vincent van Gogh","LAEF","Cypresses (1889)","cypresses"
"https://artvee.com/dl/margate/","Joseph Mallord William Turner","LAEF","Margate (ca. 1822)","margate"
"https://artvee.com/dl/approach-to-venice/","Joseph Mallord William Turner","LAEF","Approach to Venice (1844)","approach-to-venice"
"https://artvee.com/dl/boats-carrying-out-anchors-to-the-dutch-men-of-war/","Joseph Mallord William Turner","LAEF","Boats Carrying Out Anchors to the Dutch Men of War (c. 1804)","boats-carrying-out-anchors-to-the-dutch-men-of-war"
"https://artvee.com/dl/bonneville-savoy/","Joseph Mallord William Turner","LAEF","Bonneville, Savoy (1803)","bonneville-savoy"
"https://artvee.com/dl/castle-on-height-near-geneva/","Joseph Mallord William Turner","LAEF","Castle on Height near Geneva (1836)","castle-on-height-near-geneva"
"https://artvee.com/dl/fishing-boats-with-hucksters-bargaining-for-fish/","Joseph Mallord William Turner","LAEF","Fishing Boats with Hucksters Bargaining for Fish (1837)","fishing-boats-with-hucksters-bargaining-for-fish"
"https://artvee.com/dl/fluelen-from-the-lake-of-lucerne/","Joseph Mallord William Turner","LAEF","Flüelen, from the Lake of Lucerne (1845)","fluelen-from-the-lake-of-lucerne"
"https://artvee.com/dl/keelmen-heaving-in-coals-by-moonlight/","Joseph Mallord William Turner","LAEF","Keelmen Heaving in Coals by Moonlight (1835)","keelmen-heaving-in-coals-by-moonlight"
"https://artvee.com/dl/modern-rome-campo-vaccino/","Joseph Mallord William Turner","LAEF","Modern Rome – Campo Vaccino (1839)","modern-rome-campo-vaccino"
"https://artvee.com/dl/mortlake-terrace/","Joseph Mallord William Turner","LAEF","Mortlake Terrace (1827)","mortlake-terrace"
"https://artvee.com/dl/the-watzmann-2/","Caspar David Friedrich","LAEF","The Watzmann (1824)","the-watzmann-2"
"https://artvee.com/dl/blick-aus-dem-atelier-des-kunstlers-rechtes-fenster/","Caspar David Friedrich","LAEF","Blick aus dem Atelier des Künstlers (rechtes Fenster) (1805-1806)","blick-aus-dem-atelier-des-kunstlers-rechtes-fenster"
"https://artvee.com/dl/blick-aus-dem-atelier-des-kunstlers-in-dresden-auf-die-elbe-linkes-fenster/","Caspar David Friedrich","LAEF","Blick aus dem Atelier des Künstlers in Dresden auf die Elbe (linkes Fenster) (1805-1806)","blick-aus-dem-atelier-des-kunstlers-in-dresden-auf-die-elbe-linkes-fenster"
"https://artvee.com/dl/man-and-woman-contemplating-the-moon/","Caspar David Friedrich","LAEF","Man and Woman contemplating the moon (circa 1824)","man-and-woman-contemplating-the-moon"
"https://artvee.com/dl/woman-at-a-window-5/","Caspar David Friedrich","LAEF","Woman at a Window (1822)","woman-at-a-window-5"
"https://artvee.com/dl/giant-mountains-riesengebirge/","Caspar David Friedrich","LAEF","Giant Mountains (Riesengebirge) (circa 1830)","giant-mountains-riesengebirge"
"https://artvee.com/dl/inside-the-forest-in-the-moonlight/","Caspar David Friedrich","LAEF","Inside the forest in the moonlight (circa 1823)","inside-the-forest-in-the-moonlight"
"https://artvee.com/dl/monastery-ruin-eldena/","Caspar David Friedrich","LAEF","Monastery ruin Eldena (1824)","monastery-ruin-eldena"
"https://artvee.com/dl/mountain-landscape-with-rainbow/","Caspar David Friedrich","LAEF","Mountain Landscape with Rainbow (circa 1809-1810)","mountain-landscape-with-rainbow"
"https://artvee.com/dl/the-abbey-in-the-oakwood/","Caspar David Friedrich","LAEF","The Abbey in the Oakwood (between 1809 and 1810)","the-abbey-in-the-oakwood"
"https://artvee.com/dl/evocation-of-roussel/","Odilon Redon","LAEF","Evocation of Roussel (c. 1912)","evocation-of-roussel"
"https://artvee.com/dl/ophelia-with-a-blue-wimple-in-the-water/","Odilon Redon","LAEF","Ophelia with a Blue Wimple in the Water (1900 - 1905)","ophelia-with-a-blue-wimple-in-the-water"
"https://artvee.com/dl/ophelia/","Odilon Redon","LAEF","Ophelia (1906)","ophelia"
"https://artvee.com/dl/melancholy/","Odilon Redon","LAEF","Melancholy (1876)","melancholy"
"https://artvee.com/dl/portrait-of-ari-redon/","Odilon Redon","LAEF","Portrait of Ari Redon (1884–1892)","portrait-of-ari-redon"
"https://artvee.com/dl/sita/","Odilon Redon","LAEF","Sita (1882–1898)","sita"
"https://artvee.com/dl/symbolic-head/","Odilon Redon","LAEF","Symbolic Head (c. 1890)","symbolic-head"
"https://artvee.com/dl/violette-heymann/","Odilon Redon","LAEF","Violette Heymann (1910)","violette-heymann"
"https://artvee.com/dl/pandora-2/","Odilon Redon","LAEF","Pandora (1910-1912)","pandora-2"
"https://artvee.com/dl/breton-village/","Odilon Redon","LAEF","Breton Village (c. 1890)","breton-village"
"https://artvee.com/dl/the-toilette-3/","Gustave Moreau","LAEF","The Toilette (c.1885 - c.1890)","the-toilette-3"
"https://artvee.com/dl/salome-at-the-prison/","Gustave Moreau","LAEF","Salome At The Prison","salome-at-the-prison"
"https://artvee.com/dl/diomedes-devoured-by-his-horses/","Gustave Moreau","LAEF","Diomedes Devoured by His Horses (1865-1870)","diomedes-devoured-by-his-horses"
"https://artvee.com/dl/the-martyred-saint-sebastian/","Gustave Moreau","LAEF","The Martyred Saint Sebastian (1869)","the-martyred-saint-sebastian"
"https://artvee.com/dl/reitre-et-captives/","Gustave Moreau","LAEF","Reître et captives","reitre-et-captives"
"https://artvee.com/dl/salome-with-the-head-of-john-the-baptist-2/","Gustave Moreau","LAEF","Salome with the Head of John the Baptist (ca. 1876)","salome-with-the-head-of-john-the-baptist-2"
"https://artvee.com/dl/the-coach/","Gustave Moreau","LAEF","The coach (1854)","the-coach"
"https://artvee.com/dl/king-david-5/","Gustave Moreau","LAEF","King David (1878)","king-david-5"
"https://artvee.com/dl/saint-cecilia-16/","Gustave Moreau","LAEF","Saint Cecilia (ca. 1890–95)","saint-cecilia-16"
"https://artvee.com/dl/salome-dancing-before-herod/","Gustave Moreau","LAEF","Salomé Dancing before Herod (1876)","salome-dancing-before-herod"
"https://artvee.com/dl/milton-a-poem-in-2-books-pl-45/","William Blake","LAEF","Milton, a poem in 2 books Pl.45 (19th century)","milton-a-poem-in-2-books-pl-45"
"https://artvee.com/dl/milton-a-poem-in-2-books-pl-44/","William Blake","LAEF","Milton, a poem in 2 books Pl.44 (19th century)","milton-a-poem-in-2-books-pl-44"
"https://artvee.com/dl/milton-a-poem-in-2-books-pl-43/","William Blake","LAEF","Milton, a poem in 2 books Pl.43 (19th century)","milton-a-poem-in-2-books-pl-43"
"https://artvee.com/dl/milton-a-poem-in-2-books-pl-42/","William Blake","LAEF","Milton, a poem in 2 books Pl.42 (19th century)","milton-a-poem-in-2-books-pl-42"
"https://artvee.com/dl/milton-a-poem-in-2-books-pl-41/","William Blake","LAEF","Milton, a poem in 2 books Pl.41 (19th century)","milton-a-poem-in-2-books-pl-41"
"https://artvee.com/dl/milton-a-poem-in-2-books-pl-40/","William Blake","LAEF","Milton, a poem in 2 books Pl.40 (19th century)","milton-a-poem-in-2-books-pl-40"
