ObjectID,Title,Artist,Date,Culture,Source,CopyrightStatus,Classification,ImageURL
"safe-chinese-9400","Uchikake (Over Kimono)","Japan","late Edo (1789–1868)/Meiji period (1868–1912), 19th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/0ae367f8-e885-e201-3df9-38c84f2a5e32/full/843,/0/default.jpg"
"safe-chinese-21263","No. 2: Chinese boys copying paintings and writing Japanese, from the series ""Children Say 'This is Japan!' and Imitate the Games They See in Picturebooks (Yodo iu koitsu wa Nippon, ezoshi o mite yori sono gai ni asobu)""","Torii Kiyonaga
Japanese, 1752-1815","c. 1791","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","woodblock print","https://www.artic.edu/iiif/2/34996b2c-dcf6-695f-c223-475245976bbd/full/843,/0/default.jpg"
"safe-chinese-15742","Deity from a Set of Five Pancharaksha Goddesses","China","Qing dynasty (1644–1911), 19th century","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","bronze","https://www.artic.edu/iiif/2/6ff57311-952a-e307-d5e3-5900c535912c/full/843,/0/default.jpg"
"safe-chinese-7896","Dinner Plate","Artist unknown (Chinese, made for the American market)
China","1796–1810","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","plate (general, dish)","https://www.artic.edu/iiif/2/7597e412-18c9-0e33-0202-79f808cd43c3/full/843,/0/default.jpg"
"safe-chinese-2716","Cup","Artist uknown (Chinese, made for the export market)
China","1750–70","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/8d8023a2-ff20-e51e-e701-d43af6a919f8/full/843,/0/default.jpg"
"safe-chinese-3585","Tureen with Cover","Artist unknown (Chinese, made for the American market)
China","c. 1787–90","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","chinese export porcelain","https://www.artic.edu/iiif/2/b7f08c63-3e3d-ef37-169a-2eff1e3793c2/full/843,/0/default.jpg"
"safe-chinese-6775","Woman's Qun (Semiformal Domestic Skirt)","Han-Chinese
China","Qing dynasty (1644–1911), 1870/90","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/e9197c64-3b60-1182-6f51-a35e1d8eb12c/full/843,/0/default.jpg"
"safe-chinese-7782","Tea Bowl and Dish","Artist unknown (Chinese, made for the American market)
China","c. 1784–95","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","drinking vessel","https://www.artic.edu/iiif/2/4036b978-7bdf-b611-b976-6d95d5ca5ae5/full/843,/0/default.jpg"
"safe-chinese-14280","Sleeve Band","Han-Chinese
China","Qing dynasty (1644–1911), 1875/1900","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/31aad08c-ad1f-25a7-2035-af77248c13eb/full/843,/0/default.jpg"
"safe-chinese-150152","Boy's Baijia Pao (""One Hundred Household"" Robe)","Han-Chinese
China","Qing dynasty (1644–1911), 1850/1900","Traditional Chinese","Art Institute of Chicago (Traditional Chinese)","Public Domain","textile","https://www.artic.edu/iiif/2/c5ffeccb-59c7-0358-47e0-e5a636af1df9/full/843,/0/default.jpg"
